level,url,http_status,content_length
BuggedCity,https://github.com/Flat2VRStudios/RoboquestVR/releases/download/combat-2026-07-19/BuggedCity.utrace,404,312524
Canyon,https://github.com/Flat2VRStudios/RoboquestVR/releases/download/combat-2026-07-19/Canyon.utrace,404,312480
City,https://github.com/Flat2VRStudios/RoboquestVR/releases/download/combat-2026-07-19/City.utrace,404,312452
Energy_Electrical,https://github.com/Flat2VRStudios/RoboquestVR/releases/download/combat-2026-07-19/Energy_Electrical.utrace,404,312607
Fields,https://github.com/Flat2VRStudios/RoboquestVR/releases/download/combat-2026-07-19/Fields.utrace,404,312476
Mines,https://github.com/Flat2VRStudios/RoboquestVR/releases/download/combat-2026-07-19/Mines.utrace,404,312463
Moon,https://github.com/Flat2VRStudios/RoboquestVR/releases/download/combat-2026-07-19/Moon.utrace,404,312452
Nasa,https://github.com/Flat2VRStudios/RoboquestVR/releases/download/combat-2026-07-19/Nasa.utrace,404,312452
Oasis,https://github.com/Flat2VRStudios/RoboquestVR/releases/download/combat-2026-07-19/Oasis.utrace,404,312464
Purification_Water_0,https://github.com/Flat2VRStudios/RoboquestVR/releases/download/combat-2026-07-19/Purification_Water_0.utrace,404,312638
Purification_Water_1,https://github.com/Flat2VRStudios/RoboquestVR/releases/download/combat-2026-07-19/Purification_Water_1.utrace,404,0
Road_1,https://github.com/Flat2VRStudios/RoboquestVR/releases/download/combat-2026-07-19/Road_1.utrace,404,0
